time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001771,1.7691,0.6172,-0.0358,1.874
0.013665,1.9278,0.4315,-0.154,1.982
0.021889,2.1044,0.2638,-0.3302,2.146
0.04577,2.205,0.1577,-0.5925,2.289
0.045959,2.266,0.0879,-0.8287,2.414
0.050829,2.5461,0.0954,-0.9616,2.723
0.065387,2.7992,0.2146,-0.9659,2.969
0.070378,2.565,0.2818,-0.8555,2.719
0.08196,2.0086,0.3842,-0.6526,2.147
0.089875,1.3275,0.4343,-0.469,1.473
0.100219,0.7857,0.447,-0.2168,0.93
0.110581,0.3712,0.3789,0.0933,0.539
0.118955,0.0382,0.5818,0.5712,0.816
0.138148,-0.2741,0.5243,0.7401,0.948
0.138953,0.0136,0.5294,0.9103,1.053
0.148163,0.8335,0.6791,0.8816,1.39
0.157788,1.3499,0.7298,0.8474,1.753
0.167785,1.7773,0.5853,0.5994,1.965
0.177796,2.4588,0.4373,0.2349,2.508
0.187148,3.0734,-0.2436,-0.9681,3.231
0.198863,3.3302,1.0831,0.3809,3.523
0.20647,3.4204,0.3035,-1.2731,3.662
0.218182,2.8338,0.1237,-0.678,2.916
0.23085,2.6034,0.3579,-0.7124,2.723
0.235605,1.2875,0.3499,-1.3604,1.905
0.254193,0.3229,0.2778,-0.6411,0.77
0.256789,0.1914,0.3311,-0.7223,0.817
0.266469,0.5475,0.22,-1.1886,1.327
0.274495,1.3068,0.5774,-0.8945,1.686
0.285055,1.6805,1.099,-0.3961,2.047
0.29546,1.6329,1.2323,-0.3042,2.068
0.304289,1.5764,1.2307,-0.0251,2
0.313447,1.6728,1.3579,0.3132,2.177
0.323281,1.81,1.435,0.4797,2.359
0.333286,1.8848,1.4215,0.1205,2.364
0.34225,2.1338,1.3648,-0.7293,2.636
0.351719,2.2817,1.8516,-1.1127,3.142
0.361819,2.4185,2.0917,-1.8051,3.672
0.371419,2.0629,1.9713,-2.5445,3.823
0.382953,1.743,1.9486,-2.9905,3.972
0.391426,1.6798,1.8939,-3.2281,4.102
0.401943,1.3503,1.7125,-3.1456,3.828
0.412988,1.0173,1.3506,-2.4809,3.002
0.421282,0.8995,1.2603,-1.4814,2.143
0.431208,0.7521,1.1622,-0.7289,1.564
0.442098,0.5869,0.9803,-0.2668,1.173
0.451027,0.0224,0.9338,-0.127,0.943
0.466696,-0.9741,1.1621,0.0355,1.517
0.469566,-2.1294,1.1502,-0.1948,2.428
0.490143,-3.1769,0.9606,-0.8646,3.43
0.490556,-3.7712,0.614,-1.0919,3.974
0.499372,-3.5837,0.195,-1.9367,4.078
0.509621,-2.8049,0.1575,-2.6404,3.855
0.518485,-1.956,0.179,-3.2626,3.808
0.529492,-1.4257,0.1209,-3.8673,4.123
0.537321,-1.2042,0.0749,-4.2816,4.448
0.54709,-1.0843,-0.0343,-4.2713,4.407
0.557588,-0.8716,-0.1219,-3.6977,3.801
0.567618,-0.7782,-0.2774,-2.0059,2.169
0.577392,-1.6934,-0.7734,0.4221,1.909
0.591182,-2.7966,-1.0028,2.606,3.952
0.595523,-2.3805,-0.2348,3.2897,4.067
0.606294,-1.548,0.7623,3.392,3.806
0.615376,-0.4567,1.5022,3.2834,3.64
0.626263,1.3511,2.082,2.4578,3.493
0.635003,2.6881,2.3226,1.4524,3.838
0.646843,3.219,2.2484,0.8357,4.014
0.655322,3.869,1.7807,0.5787,4.298
0.664897,5.3316,1.0305,1.167,5.554
0.673691,7.0065,0.5521,1.9077,7.283
0.684327,8.4253,0.1025,1.5414,8.566
0.69358,10.4029,0.0968,0.6525,10.424
0.702497,12.3682,-0.028,-0.8946,12.401
0.713611,13.8453,-0.3744,-1.7604,13.962
0.722784,14.6829,-1.2382,-3.5137,15.148
0.732376,15.1031,-2.2739,-5.3143,16.171
0.742127,15.269,-2.7508,-6.2555,16.728
0.759811,13.9476,-3.5833,-5.6306,15.462
0.760817,11.8395,-4.7782,-4.3807,13.498
0.770977,10.5277,-5.674,-1.8791,12.106
0.785046,8.5672,-6.8663,1.044,11.029
0.796137,5.5985,-7.2788,2.9924,9.658
0.800457,2.7127,-7.012,4.0186,8.525
0.810397,0.9195,-6.6495,4.2718,7.957
0.819821,0.0185,-5.9803,4.0383,7.216
0.831507,-1.1563,-5.0463,3.1873,6.08
0.838796,-2.0195,-4.2675,2.0355,5.141
0.848805,-2.2416,-3.5494,0.8152,4.276
0.858489,-2.489,-2.956,-0.0559,3.865
0.868577,-3.9939,-2.3678,-0.4771,4.667
0.877925,-6.3042,-1.629,0.2679,6.517
0.887561,-9.11,-0.3901,1.2778,9.207
0.900732,-12.0231,1.0286,1.7438,12.192
0.907459,-13.3315,2.1705,1.8835,13.638
0.918654,-13.0589,3.4255,1.8538,13.627
0.925581,-13.0841,4.8468,1.7323,14.06
0.936261,-13.3861,6.0169,1.5907,14.762
0.948944,-13.5447,6.5059,1.8248,15.137
0.955445,-13.8477,6.6829,2.4939,15.577
0.966244,-13.6679,6.581,3.466,15.561
0.97451,-12.8309,6.233,4.7781,15.044
0.985592,-12.254,5.7328,5.9324,14.772
0.996403,-11.8393,4.9873,6.342,14.327
1.003737,-11.3911,3.602,6.1255,13.426
1.012872,-10.4008,2.2532,4.942,11.734
1.022861,-8.4274,1.5973,2.8048,9.024
1.033504,-6.5348,1.2415,-0.0801,6.652
1.042518,-4.8022,1.0002,-3.0206,5.761
1.052436,-3.3996,0.4604,-4.8048,5.904
1.065058,-3.0483,-0.06,-5.5111,6.298
1.072095,-3.1429,-0.4979,-5.6804,6.511
1.085417,-2.9147,-1.1316,-5.3452,6.192
1.092074,-2.4321,-2.0317,-4.2073,5.267
1.100587,-2.0717,-3.0383,-2.1465,4.258
1.110794,-1.8678,-3.9789,0.6166,4.439
1.120595,-1.2423,-4.9309,3.4535,6.147
1.130851,0.4571,-5.5682,5.635,7.935
1.140012,2.9789,-5.7219,6.2787,9.002
1.152393,6.0654,-5.8396,5.7927,10.22
1.161532,8.963,-5.9855,4.5579,11.702
1.169218,11.3815,-6.0494,2.8667,13.204
1.18461,13.2768,-6.0746,1.1332,14.644
1.18944,14.7521,-6.0046,-0.0517,15.927
1.208286,15.8883,-5.6991,-0.8912,16.903
1.208658,16.6119,-5.3191,-1.8123,17.537
1.217479,16.7422,-4.7154,-3.1204,17.671
1.227733,16.4022,-4.2189,-4.2014,17.449
1.237438,14.4174,-4.6896,-4.4981,15.814
1.248359,12.3845,-5.3729,-4.4136,14.203
1.257129,11.5051,-5.6614,-3.7726,13.366
1.277699,10.4895,-6.4728,-2.1547,12.513
1.277986,9.593,-6.8622,-0.6713,11.814
1.288538,8.0485,-7.2569,0.3788,10.844
1.29991,6.2161,-7.67,1.412,9.973
1.304913,5.0439,-8.22,2.8723,10.063
1.314128,4.0342,-8.4199,4.7232,10.463
1.323978,2.7375,-7.4519,7.1835,10.706
1.333887,1.0744,-5.8177,9.242,10.973
1.34458,0.3819,-4.0494,10.802,11.542
1.353596,-0.7536,-1.9776,10.7255,10.932
1.364263,-2.2922,-0.5446,9.6748,9.958
1.373264,-3.7375,0.3003,8.1099,8.935
1.387687,-5.2649,0.6581,6.3783,8.297
1.395781,-5.4861,1.3008,4.2591,7.066
1.402507,-4.9033,2.1713,2.0975,5.758
1.412041,-4.748,3.0526,0.3373,5.655
1.421683,-5.6724,3.865,-0.9063,6.924
1.431389,-7.6523,4.3358,-1.3402,8.897
1.441334,-9.9729,4.481,-0.961,10.975
1.45089,-12.4498,4.2759,0.0379,13.164
1.461219,-14.1953,3.8524,0.902,14.736
1.471273,-14.3774,3.1198,0.7737,14.732
1.486166,-13.7982,2.4506,0.1704,14.015
1.491292,-12.8536,1.6465,-0.2451,12.961
1.501998,-11.4277,0.4092,-1.0841,11.486
1.509543,-10.1972,-1.4438,-4.0529,11.068
